JP,EN,trial,ratio,n_ok
P72,2021/07/05,0,0,0
P72,2021/07/05,0,0,0
P72,2021/07/05,0,0,0
P72,2021/07/05,0,0,0
P72,2021/07/05,0,0,0
P72,2021/07/05,0,0,0
P73,2021/07/05,0,0,0
P73,2021/07/05,0,0,0
P73,2021/07/05,0,0,0
P73,2021/07/05,0,0,0
P74,2021/07/05,0,0,0
P74,2021/07/05,0,0,0
P75,2021/07/05,0,0,0
P75,2021/07/05,0,0,0
P75,2021/07/05,0,0,0
P75,2021/07/05,0,0,0
P75,2021/07/05,0,0,0
P76,2021/07/05,0,0,0
P77,2021/07/05,0,0,0
P77,2021/07/05,0,0,0
P77,2021/07/05,0,0,0
P77,2021/07/05,0,0,0
P78,2021/07/05,0,0,0
P78,2021/07/05,0,0,0
P78,2021/07/05,0,0,0
P78,2021/07/05,0,0,0
P78,2021/07/05,0,0,0
P79,2021/07/06,0,0,0
P79,2021/07/06,0,0,0
P79,2021/07/06,0,0,0
P79,2021/07/06,0,0,0
P79,2021/07/06,0,0,0
P79,2021/07/06,0,0,0
P79,2021/07/06,0,0,0
P80,2021/07/06,0,0,0
P80,2021/07/06,0,0,0
P80,2021/07/06,0,0,0
P80,2021/07/06,0,0,0
P80,2021/07/06,0,0,0
P81,2021/07/06,0,0,0
P81,2021/07/06,0,0,0
P81,2021/07/06,0,0,0
P81,2021/07/06,0,0,0
P81,2021/07/07,0,0,0
P81,2021/07/07,0,0,0
P81,2021/07/07,0,0,0
P81,2021/07/07,0,0,0
P81,2021/07/07,0,0,0
P82,2021/07/07,0,0,0
P82,2021/07/07,0,0,0
P82,2021/07/07,0,0,0
P82,2021/07/07,0,0,0
P82,2021/07/07,0,0,0
P82,2021/07/07,0,0,0
P82,2021/07/07,0,0,0
P83,2021/07/07,0,0,0
P83,2021/07/07,0,0,0
P83,2021/07/07,0,0,0
P83,2021/07/07,0,0,0
P83,2021/07/07,0,0,0
P83,2021/07/07,0,0,0
P83,2021/07/07,0,0,0
P83,2021/07/07,0,0,0
P83,2021/07/07,0,0,0
P83,2021/07/08,0,0,0
P83,2021/07/08,0,0,0
P84,2021/07/08,0,0,0
P84,2021/07/08,0,0,0
P84,2021/07/08,0,0,0
